,SKS,IPK,dum_grade,lulus_4_tahun
210,77,2.235064935064935,6.0,0
211,82,3.3707317073170735,0.0,0
212,82,3.5560975609756103,0.0,0
213,85,2.8129411764705887,2.0,0
214,82,2.653658536585366,3.0,0
215,82,2.675609756097561,4.0,0
216,81,2.691358024691358,2.0,0
217,77,2.351948051948052,5.0,0
218,85,3.5541176470588236,1.0,0
219,74,1.795945945945946,11.0,0
220,71,2.3619718309859152,5.0,0
221,85,3.027058823529412,2.0,0
222,85,3.315294117647059,1.0,0
223,76,2.5157894736842104,6.0,0
224,87,3.80919540229885,0.0,0
225,76,2.0763157894736843,11.0,0
226,79,2.050632911392405,10.0,0
227,85,3.4788235294117644,0.0,0
228,85,3.2941176470588234,1.0,0
229,85,3.6905882352941175,0.0,0
230,82,2.5987804878048784,4.0,0
231,85,3.274117647058824,0.0,0
232,87,3.5643678160919543,0.0,0
233,82,2.862195121951219,4.0,0
234,85,3.052941176470588,3.0,0
235,79,1.688607594936709,11.0,0
236,79,2.2860759493670884,7.0,0
237,76,1.8671052631578948,9.0,0
238,87,3.888505747126437,0.0,0
239,86,2.854651162790698,2.0,0
240,85,3.771764705882353,0.0,0
241,73,1.4863013698630136,13.0,0
242,74,2.57972972972973,4.0,0
243,85,3.371764705882353,0.0,0
244,72,2.5805555555555557,5.0,0
245,73,2.452054794520548,8.0,0
246,74,2.6567567567567565,4.0,0
247,71,2.3760563380281687,4.0,0
248,72,2.6263888888888887,2.0,0
249,82,2.1878048780487807,9.0,0
250,82,2.575609756097561,5.0,0
251,85,3.4552941176470586,0.0,0
252,82,2.8048780487804876,3.0,0
253,84,3.2214285714285715,0.0,0
254,85,3.218823529411765,1.0,0
255,82,3.0999999999999996,2.0,0
256,74,2.016216216216216,9.0,0
257,78,2.958974358974359,3.0,0
258,84,3.7214285714285715,0.0,0
259,84,3.0285714285714285,1.0,0
260,83,2.706024096385542,3.0,0
261,84,2.892857142857143,3.0,0
262,85,3.135294117647059,3.0,0
263,77,2.5155844155844154,5.0,0
264,83,2.3650602409638557,7.0,0
265,80,2.7512499999999998,3.0,0
266,85,3.34,0.0,0
267,69,2.307246376811594,5.0,0
268,82,2.596341463414634,6.0,0
269,82,2.973170731707317,3.0,0
270,84,3.1988095238095235,1.0,0
271,82,2.954878048780488,3.0,0
272,41,3.0853658536585367,2.0,0
273,82,2.9073170731707316,1.0,0
274,82,2.6170731707317074,3.0,0
275,59,1.8084745762711865,9.0,0
276,84,3.0892857142857144,2.0,0
277,82,2.521951219512195,4.0,0
278,80,2.42,6.0,0
279,84,3.260714285714286,1.0,0
280,71,1.4971830985915493,12.0,0
281,75,1.8306666666666669,9.0,0
282,74,1.9418918918918917,8.0,0
283,80,2.73875,4.0,0
284,78,2.367948717948718,4.0,0
285,77,2.418181818181818,5.0,0
286,40,2.57,1.0,0
287,77,2.066233766233766,7.0,0
288,40,3.6950000000000003,0.0,0
289,40,2.3024999999999998,3.0,0
